26-11-2025_1937 - Stop opladen, minSoc=4, price=0.12243, price_threshold=0.08258
26-11-2025_1953 - Stop opladen, minSoc=4, price=0.10881, price_threshold=0.08258
26-11-2025_1959 - Stop opladen, minSoc=4, price=0.12481, price_threshold=0.05266
26-11-2025_2002 - Stop opladen, minSoc=4, price=0.12481, price_threshold=0.08202
26-11-2025_2006 - Stop opladen, minSoc=4, price=0.12481, price_threshold=0.08202
26-11-2025_2010 - Stop opladen, minSoc=4, price=0.12481, price_threshold=0.08202
26-11-2025_2037 - Stop opladen, minSoc=4, price=0.10083, price_threshold=0.08202
26-11-2025_2056 - Stop opladen, minSoc=4, price=0.0914, price_threshold=0.08202
27-11-2025_2040 - Stop opladen, minSoc=4, price=0.08014, price_threshold=0.07391
27-11-2025_2109 - Stop opladen, minSoc=4, price=88.49, price_threshold=73.91
27-11-2025_2113 - Stop opladen, minSoc=4, price=88.49, price_threshold=73.91
28-11-2025_0810 - Stop opladen, minSoc=4, price=106.4, price_threshold=86.98
28-11-2025_1705 - Stop opladen, minSoc=4, price=82.64, price_threshold=79.99
28-11-2025_1737 - Stop opladen, minSoc=4, price=96.11, price_threshold=79.99
28-11-2025_1745 - Stop opladen, minSoc=4, price=96.29, price_threshold=79.99
28-11-2025_1746 - Stop opladen, minSoc=4, price=96.29, price_threshold=79.99
28-11-2025_1748 - Stop opladen, minSoc=4, price=96.29, price_threshold=79.99
